Group,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD
Acetobacter_persici,9.15E-07,3.79E-06,3.56E-06,7.49E-06,1.26E-05,9.99E-06,7.37E-06,5.07E-06,8.22E-06,1.35E-05,2.48E-06,1.77E-05,1.49E-05,9.17E-06,3.87E-06,1.27E-05,1.54E-06,3.10E-06,6.63E-06,2.23E-05,9.70E-06,1.73E-05,1.21E-05,2.15E-05,1.24E-05,1.05E-05,2.95E-06,4.92E-06,2.63E-05,1.01E-05,1.18E-05,1.04E-05,1.23E-05,5.38E-06,8.21E-06,1.82E-05,2.12E-05,1.13E-05
Acidisarcina_polymorpha,3.45E-06,2.93E-06,7.39E-06,2.22E-05,1.90E-05,1.32E-05,1.41E-05,3.32E-06,9.47E-06,9.92E-06,1.63E-05,2.21E-05,1.18E-05,8.02E-06,4.99E-06,1.51E-05,6.70E-06,7.60E-06,8.63E-06,3.30E-05,1.34E-05,1.87E-05,1.91E-05,2.53E-05,1.63E-05,7.86E-06,5.45E-06,4.04E-06,4.43E-05,2.41E-05,2.69E-05,2.51E-05,1.74E-05,1.12E-05,9.92E-06,2.15E-05,3.07E-05,3.92E-06
Actinomyces_radicidentis,1.83E-06,5.46E-06,4.61E-06,7.09E-06,2.14E-05,1.09E-05,1.04E-05,6.03E-06,1.06E-05,1.56E-05,6.66E-06,1.28E-05,1.53E-05,1.39E-05,6.07E-06,1.39E-05,4.15E-06,7.57E-06,1.41E-05,3.83E-05,1.35E-05,1.94E-05,2.00E-05,3.00E-05,2.18E-05,3.21E-06,3.47E-06,3.20E-06,2.49E-05,2.22E-05,2.78E-05,2.00E-05,1.88E-05,4.72E-06,1.55E-05,2.99E-05,3.36E-05,3.14E-06
Actinomyces_viscosus,2.32E-06,1.46E-05,3.32E-06,4.27E-06,1.34E-05,2.46E-05,5.96E-06,3.72E-06,1.97E-05,1.09E-05,1.18E-05,1.09E-05,5.71E-06,1.87E-05,3.54E-06,1.57E-05,1.00E-05,7.76E-06,7.01E-06,2.37E-05,3.18E-05,6.07E-05,3.71E-05,5.05E-05,1.32E-05,8.25E-06,1.13E-06,1.36E-06,2.43E-05,1.88E-05,3.21E-05,1.49E-05,1.47E-05,6.90E-06,2.69E-05,1.14E-05,2.48E-05,3.21E-06
Advenella_mimigardefordensis,9.85E-07,4.32E-06,3.09E-06,7.58E-06,1.01E-05,9.37E-06,3.31E-06,5.41E-06,6.48E-06,8.62E-06,3.47E-06,1.43E-05,6.60E-06,9.55E-06,6.23E-06,8.51E-06,1.07E-05,4.52E-06,1.00E-05,1.53E-05,7.44E-06,1.04E-05,7.01E-06,1.19E-05,1.17E-05,2.82E-06,3.75E-06,7.72E-06,1.96E-05,1.24E-05,1.00E-05,9.60E-06,1.14E-05,6.16E-06,1.14E-05,2.53E-05,2.13E-05,2.64E-06
Arthrobacter_sp._PAMC_25486,1.34E-06,1.93E-06,1.83E-06,8.46E-06,1.31E-05,9.81E-06,4.97E-06,6.53E-06,8.22E-06,1.27E-05,5.45E-06,8.32E-06,1.59E-05,1.43E-05,4.40E-06,5.42E-06,3.14E-06,3.76E-06,5.76E-06,2.37E-05,6.87E-06,1.32E-05,3.61E-05,3.72E-05,1.72E-05,3.14E-06,3.35E-06,1.32E-06,2.96E-05,1.41E-05,1.76E-05,1.04E-05,1.84E-05,4.89E-06,9.47E-06,2.50E-05,3.34E-05,3.99E-06
Arthrobacter_sp._PGP41,9.85E-07,2.13E-06,3.12E-06,7.67E-06,7.65E-06,9.68E-06,4.69E-06,1.41E-06,9.97E-06,7.57E-06,2.92E-06,9.74E-06,6.60E-06,5.54E-06,3.33E-06,7.42E-06,3.26E-06,2.84E-06,3.88E-06,2.43E-05,5.65E-06,1.48E-05,9.52E-06,1.90E-05,1.65E-05,3.28E-06,8.07E-07,2.24E-06,3.58E-05,2.05E-05,1.88E-05,1.39E-05,1.48E-05,3.94E-06,7.76E-06,1.24E-05,2.31E-05,2.07E-06
Bacillus_cellulosilyticus,3.10E-06,9.31E-06,6.41E-06,1.84E-05,1.64E-05,2.61E-05,6.94E-06,2.92E-05,8.35E-06,1.18E-05,1.64E-05,2.47E-05,5.15E-06,1.53E-05,4.30E-06,1.19E-05,5.93E-06,4.13E-06,8.13E-06,3.44E-05,1.08E-05,2.16E-05,2.18E-05,1.58E-05,2.88E-05,1.17E-05,8.15E-06,3.67E-05,3.46E-05,2.60E-05,2.87E-05,3.44E-05,2.48E-05,3.74E-06,1.88E-05,5.12E-05,4.43E-05,2.28E-06
Bacillus_foraminis,9.50E-06,2.34E-05,1.31E-05,2.77E-05,3.10E-05,3.96E-05,1.70E-05,1.41E-05,2.21E-05,3.53E-05,1.27E-05,4.01E-05,3.20E-05,3.23E-05,2.42E-05,1.49E-05,8.18E-06,9.81E-06,1.71E-05,5.09E-05,2.36E-05,2.15E-05,4.07E-05,3.61E-05,5.17E-05,1.17E-05,1.36E-05,1.71E-05,5.30E-05,4.58E-05,3.93E-05,3.54E-05,3.18E-05,2.01E-05,3.32E-05,6.12E-05,7.85E-05,2.00E-05
Burkholderia_sp._BDU6,2.81E-06,9.98E-07,6.78E-07,1.41E-06,3.28E-06,2.62E-06,1.23E-06,1.86E-06,3.24E-06,5.71E-06,2.31E-06,5.80E-06,3.13E-06,2.67E-06,1.45E-06,1.16E-06,3.56E-07,2.34E-06,2.75E-06,1.07E-05,1.51E-06,6.51E-06,7.44E-06,9.43E-06,8.71E-06,1.97E-06,2.02E-07,1.00E-06,1.24E-05,2.10E-05,7.93E-06,6.13E-06,1.10E-05,5.13E-06,2.16E-06,7.17E-06,9.30E-06,1.57E-06
